Iteración,Fitness,Tiempo,Interacción,BLOSUM
1,18.0,12.390140533447266,5.0,13.0
2,18.0,24.471850633621216,4.2,13.0
3,18.0,39.38125991821289,4.2,13.0
1,18.0,11.718875885009766,5.0,13.0
2,18.0,24.830804347991943,5.0,13.0
3,18.0,37.99395227432251,4.2,13.0
1,17.2,12.377511739730835,4.2,13.0
2,18.0,25.440402030944824,5.0,13.0
3,18.0,38.30644249916077,4.2,13.0
1,18.0,11.885283708572388,5.0,13.0
2,18.0,23.953267812728882,4.2,13.0
3,18.0,36.29665160179138,4.2,13.0
1,17.2,12.067797183990479,4.2,13.0
2,17.2,24.69724440574646,4.2,13.0
3,18.0,37.88279938697815,5.0,13.0
1,18.0,12.22850489616394,5.0,13.0
2,18.0,25.371553659439087,4.2,13.0
3,18.0,38.568317890167236,5.0,13.0
1,17.2,11.904446125030518,4.2,13.0
2,17.2,24.153003692626953,4.2,13.0
3,17.2,36.54829478263855,4.2,13.0
1,17.2,12.44078540802002,4.2,13.0
2,17.239944535920046,25.612303256988525,4.239944535920047,13.0
3,18.0,38.181787729263306,5.0,13.0
1,18.0,12.018306970596313,5.0,13.0
2,18.0,24.15902042388916,4.2,13.0
3,18.0,36.696024656295776,5.0,13.0
1,17.2,12.028446912765503,4.2,13.0
2,18.0,24.330063104629517,5.0,13.0
3,18.0,36.90616011619568,4.2,13.0
1,17.2,11.76366376876831,4.2,13.0
2,17.2,24.040359497070312,4.2,13.0
3,17.2,36.379822969436646,4.2,13.0
1,17.2,11.597103118896484,4.2,13.0
2,18.0,23.509733200073242,5.0,13.0
3,18.0,35.57758927345276,4.2,13.0
1,17.2,11.931199073791504,4.2,13.0
2,17.2,24.242666482925415,4.2,13.0
3,17.2,36.107306718826294,4.2,13.0
1,18.0,12.024425506591797,5.0,13.0
2,18.0,24.182689905166626,5.0,13.0
3,18.0,36.219253063201904,5.0,13.0
1,17.2,11.994782209396362,4.2,13.0
2,17.2,24.697752475738525,4.2,13.0
3,17.2,36.711437463760376,4.2,13.0
1,17.2,11.691864490509033,4.2,13.0
2,18.0,23.97852087020874,5.0,13.0
3,18.0,36.27053213119507,5.0,13.0
1,17.2,11.901484489440918,4.2,13.0
2,17.2,23.947996377944946,4.2,13.0
3,1287.6024169134141,35.793373584747314,1274.6024169134141,13.0
1,18.0,12.566431522369385,5.0,13.0
2,18.0,24.86040687561035,5.0,13.0
3,18.0,37.25505352020264,5.0,13.0
1,17.2,11.814889430999756,4.2,13.0
2,17.2,24.190004348754883,4.2,13.0
3,17.2,36.30188965797424,4.2,13.0
1,17.2,11.805042743682861,4.2,13.0
2,18.0,24.418769121170044,5.0,13.0
3,18.0,36.63767862319946,5.0,13.0
1,18.0,11.778594017028809,5.0,13.0
2,18.0,23.987570762634277,4.2,13.0
3,18.0,36.000237703323364,4.2,13.0
1,17.2,12.137279033660889,4.2,13.0
2,18.0,24.19547724723816,5.0,13.0
3,18.0,36.5472354888916,5.0,13.0
1,17.2,11.844866275787354,4.2,13.0
2,18.0,23.97868585586548,5.0,13.0
3,18.0,36.503896713256836,5.0,13.0
1,17.2,11.703784227371216,4.2,13.0
2,17.2,23.8645441532135,4.2,13.0
3,18.0,36.21109485626221,5.0,13.0
1,17.2,11.74881386756897,4.2,13.0
2,17.2,23.965462923049927,4.2,13.0
3,18.0,36.352192878723145,5.0,13.0
1,18.0,11.859097957611084,5.0,13.0
2,18.0,23.940997838974,5.0,13.0
3,18.0,36.2304630279541,4.2,13.0
1,18.0,12.214039325714111,5.0,13.0
2,18.0,24.212162256240845,5.0,13.0
3,18.0,36.11663198471069,4.2,13.0
1,18.0,11.90186619758606,5.0,13.0
2,18.0,24.10294008255005,5.0,13.0
3,18.0,36.895644664764404,4.2,13.0
1,18.0,11.849544525146484,5.0,13.0
2,18.0,23.79448366165161,4.2,13.0
3,18.0,36.09200167655945,5.0,13.0
1,17.2,12.038476943969727,4.2,13.0
2,17.2,24.134175539016724,4.649372250051091,4.0
3,17.623953993338237,36.24513292312622,4.623953993338236,13.0
